loss,accuracy,val_loss,val_accuracy,lr
0.37724292278289795,0.8436696529388428,0.22809122502803802,0.9006088972091675,0.001
0.19416019320487976,0.9173657298088074,0.19340284168720245,0.9149317741394043,0.00091
0.17575609683990479,0.9255107641220093,0.18186400830745697,0.9201297760009766,0.00082
0.16572722792625427,0.9302035570144653,0.16494563221931458,0.929844081401825,0.00073
0.1588650345802307,0.9336870312690735,0.1600799560546875,0.9312130808830261,0.00064
0.15382243692874908,0.9363201260566711,0.1557794064283371,0.9332358837127686,0.00055
0.1499660313129425,0.9381710886955261,0.15330085158348083,0.9345223903656006,0.00046
0.14708445966243744,0.9394954442977905,0.15615735948085785,0.9315844774246216,0.00037
0.14490792155265808,0.940597414970398,0.14487005770206451,0.938557505607605,0.00028
0.1433989554643631,0.941383421421051,0.14654485881328583,0.9368427395820618,0.00019
